starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 18:07:54 2014	1393690074	2	1478	1480	2
Sat Mar 01 18:07:54 2014	1393690074	3	1476	1480	2
Sat Mar 01 18:07:54 2014	1393690074	3	1477	1480	3
Sat Mar 01 18:07:54 2014	1393690074	3	1480	1483	4
Sat Mar 01 18:07:54 2014	1393690074	3	1483	1486	5
Sat Mar 01 18:07:54 2014	1393690074	3	1484	1487	6
Sat Mar 01 18:07:54 2014	1393690074	3	1484	1488	6
Sat Mar 01 18:07:54 2014	1393690074	3	1487	1491	8
Sat Mar 01 18:07:54 2014	1393690074	3	1492	1496	12
Sat Mar 01 18:07:54 2014	1393690074	3	1580	1583	97
Sat Mar 01 18:07:54 2014	1393690074	3	1835	1839	7
Sat Mar 01 18:07:54 2014	1393690074	3	3254	3258	1104
Sat Mar 01 18:07:54 2014	1393690074	3	3281	3285	1476
Sat Mar 01 18:07:54 2014	1393690074	3	3283	3286	1477
Sat Mar 01 18:07:54 2014	1393690074	3	3284	3287	1478
Sat Mar 01 18:07:54 2014	1393690074	3	3292	3296	1480
Sat Mar 01 18:07:54 2014	1393690074	3	3295	3298	1483
Sat Mar 01 18:07:54 2014	1393690074	3	3296	3299	1484
Sat Mar 01 18:07:54 2014	1393690074	3	3297	3300	1485
Sat Mar 01 18:07:54 2014	1393690074	3	3300	3303	1488
Sat Mar 01 18:07:54 2014	1393690074	3	3305	3309	1493
Sat Mar 01 18:07:54 2014	1393690074	3	3313	3317	1102
Sat Mar 01 18:07:54 2014	1393690074	3	3532	3536	1580
Sat Mar 01 18:07:54 2014	1393690074	3	4028	4031	1835
Sat Mar 01 18:15:46 2014	1393690546	1	6636	6638	1
Sat Mar 01 18:15:46 2014	1393690546	5	6696	6701	6
Sat Mar 01 18:15:45 2014	1393690545	1	7830	7832	1
Sat Mar 01 18:15:45 2014	1393690545	2	8330	8332	11
Sat Mar 01 18:15:44 2014	1393690544	6	8978	8984	51
Sat Mar 01 18:15:43 2014	1393690543	1	9469	9470	9
Sat Mar 01 18:15:42 2014	1393690542	3	10128	10131	4
Sat Mar 01 18:15:43 2014	1393690543	4	10210	10214	4
Sat Mar 01 18:15:42 2014	1393690542	4	10578	10582	1
Sat Mar 01 18:10:36 2014	1393690236	0	11123	11123	1
Sat Mar 01 18:15:41 2014	1393690541	3	11508	11510	1
Sat Mar 01 18:15:41 2014	1393690541	5	11714	11719	1
Sat Mar 01 18:15:41 2014	1393690541	6	11877	11883	3
Sat Mar 01 18:15:41 2014	1393690541	3	12114	12117	3
Sat Mar 01 18:10:11 2014	1393690211	0	12235	12236	4
Sat Mar 01 18:10:15 2014	1393690215	0	12523	12523	1
Sat Mar 01 18:15:40 2014	1393690540	1	12722	12723	1
Sat Mar 01 18:15:40 2014	1393690540	3	12807	12810	1
Sat Mar 01 18:10:41 2014	1393690241	1	13033	13034	3
Sat Mar 01 18:10:42 2014	1393690242	4	13257	13261	14
Sat Mar 01 18:10:38 2014	1393690238	0	14164	14165	1
Sat Mar 01 18:10:41 2014	1393690241	2	14461	14462	1
Sat Mar 01 18:10:37 2014	1393690237	0	14551	14551	1
Sat Mar 01 18:10:39 2014	1393690239	2	14771	14773	4
Sat Mar 01 18:10:22 2014	1393690222	0	14854	14854	1
Sat Mar 01 18:10:22 2014	1393690222	8	14961	14969	2
Sat Mar 01 18:10:31 2014	1393690231	1	15014	15014	1
Sat Mar 01 18:15:38 2014	1393690538	1	15022	15024	18
Sat Mar 01 18:15:37 2014	1393690537	10	15141	15151	14
Sat Mar 01 18:07:54 2014	1393690074	3	15554	15557	3283
Sat Mar 01 18:07:54 2014	1393690074	3	15630	15633	3295
Sat Mar 01 18:10:01 2014	1393690201	1	16070	16071	13
Sat Mar 01 18:11:13 2014	1393690273	6	16075	16081	2
Sat Mar 01 18:10:35 2014	1393690235	0	16091	16091	12
Sat Mar 01 18:11:17 2014	1393690277	4	16211	16215	1
Sat Mar 01 18:09:00 2014	1393690140	5	16447	16452	27
Sat Mar 01 18:07:54 2014	1393690074	3	16570	16573	3300
Sat Mar 01 18:07:54 2014	1393690074	3	16624	16627	3292
Sat Mar 01 18:15:36 2014	1393690536	0	16809	16809	2
Sat Mar 01 18:07:54 2014	1393690074	3	16819	16822	3119
Sat Mar 01 18:07:54 2014	1393690074	3	17000	17003	3298
Sat Mar 01 18:15:36 2014	1393690536	1	17004	17005	7
Sat Mar 01 18:10:19 2014	1393690219	6	17070	17075	3
Sat Mar 01 18:10:21 2014	1393690221	0	17106	17106	1
Sat Mar 01 18:07:54 2014	1393690074	3	17109	17112	3305
