starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 18:52:13 2014	1393692733	4	708	712	423
Sat Mar 01 18:52:13 2014	1393692733	4	855	859	401
Sat Mar 01 18:52:13 2014	1393692733	4	1392	1396	1126
Sat Mar 01 18:52:13 2014	1393692733	4	1678	1682	1349
Sat Mar 01 18:52:13 2014	1393692733	4	2055	2059	1787
Sat Mar 01 18:52:13 2014	1393692733	4	2557	2560	2207
Sat Mar 01 18:52:13 2014	1393692733	4	2774	2778	2472
Sat Mar 01 18:52:13 2014	1393692733	4	3517	3521	3087
Sat Mar 01 18:52:13 2014	1393692733	3	3733	3737	3310
Sat Mar 01 18:52:13 2014	1393692733	3	4691	4694	4086
Sat Mar 01 18:52:13 2014	1393692733	3	4813	4817	4477
Sat Mar 01 18:52:13 2014	1393692733	3	5590	5593	5160
Sat Mar 01 18:52:13 2014	1393692733	3	5602	5606	5200
Sat Mar 01 18:52:13 2014	1393692733	3	6224	6227	5953
Sat Mar 01 18:52:13 2014	1393692733	3	6758	6761	6080
Sat Mar 01 18:52:13 2014	1393692733	3	7299	7302	6973
Sat Mar 01 18:52:13 2014	1393692733	3	7530	7533	7251
Sat Mar 01 18:52:13 2014	1393692733	3	8083	8086	7802
Sat Mar 01 18:52:13 2014	1393692733	3	8359	8362	8022
Sat Mar 01 18:52:13 2014	1393692733	3	8859	8862	8536
Sat Mar 01 18:52:13 2014	1393692733	3	9184	9187	8874
Sat Mar 01 18:52:13 2014	1393692733	3	9600	9603	9302
Sat Mar 01 18:52:13 2014	1393692733	3	10046	10048	9655
Sat Mar 01 18:52:13 2014	1393692733	3	10317	10320	9980
Sat Mar 01 18:52:13 2014	1393692733	3	10829	10832	10480
Sat Mar 01 18:52:13 2014	1393692733	3	11090	11092	10739
Sat Mar 01 18:52:13 2014	1393692733	2	11723	11725	11289
Sat Mar 01 18:52:13 2014	1393692733	2	11862	11864	11540
Sat Mar 01 18:52:13 2014	1393692733	2	12471	12474	12115
Sat Mar 01 18:52:13 2014	1393692733	2	12663	12665	12310
Sat Mar 01 18:52:13 2014	1393692733	2	13147	13149	12889
Sat Mar 01 18:52:13 2014	1393692733	2	13505	13507	13191
Sat Mar 01 18:52:13 2014	1393692733	2	13906	13908	13584
Sat Mar 01 18:52:13 2014	1393692733	2	14519	14521	14087
Sat Mar 01 18:52:13 2014	1393692733	2	14768	14770	14385
Sat Mar 01 18:52:13 2014	1393692733	2	15654	15656	15090
Sat Mar 01 18:52:13 2014	1393692733	2	16082	16084	15384
Sat Mar 01 18:52:13 2014	1393692733	2	16644	16645	16269
Sat Mar 01 18:52:13 2014	1393692733	2	16859	16861	16522
Sat Mar 01 18:52:13 2014	1393692733	2	17375	17377	17026
Sat Mar 01 18:52:13 2014	1393692733	2	17579	17581	17306
Sat Mar 01 18:52:13 2014	1393692733	2	18180	18181	17817
Sat Mar 01 18:52:13 2014	1393692733	1	18340	18341	18002
Sat Mar 01 18:57:34 2014	1393693054	0	18804	18804	18487
Sat Mar 01 18:57:48 2014	1393693068	0	18823	18823	18479
Sat Mar 01 18:54:45 2014	1393692885	0	18824	18824	18503
Sat Mar 01 18:58:15 2014	1393693095	0	18849	18849	18558
Sat Mar 01 18:55:12 2014	1393692912	0	18855	18855	18575
Sat Mar 01 18:53:41 2014	1393692821	0	18857	18858	18582
Sat Mar 01 18:57:34 2014	1393693054	0	18859	18860	18452
Sat Mar 01 18:56:26 2014	1393692986	0	18861	18861	18533
Sat Mar 01 18:58:04 2014	1393693084	0	18868	18868	18509
Sat Mar 01 18:57:39 2014	1393693059	0	18869	18869	18571
Sat Mar 01 18:55:33 2014	1393692933	0	18870	18870	18451
Sat Mar 01 18:58:14 2014	1393693094	0	18871	18872	18621
Sat Mar 01 18:55:23 2014	1393692923	0	18872	18872	18482
Sat Mar 01 18:55:13 2014	1393692913	0	18873	18873	18551
Sat Mar 01 18:55:32 2014	1393692932	0	18877	18877	18635
Sat Mar 01 18:57:16 2014	1393693036	0	18880	18880	18512
Sat Mar 01 18:56:19 2014	1393692979	0	18880	18880	18495
Sat Mar 01 18:58:03 2014	1393693083	0	18880	18880	18539
Sat Mar 01 18:54:47 2014	1393692887	0	18881	18881	18537
Sat Mar 01 18:55:33 2014	1393692933	0	18882	18882	18578
Sat Mar 01 18:57:23 2014	1393693043	0	18883	18883	18596
Sat Mar 01 18:54:46 2014	1393692886	0	18884	18885	18482
Sat Mar 01 18:57:40 2014	1393693060	0	18887	18887	18497
Sat Mar 01 18:56:25 2014	1393692985	0	18888	18888	18592
Sat Mar 01 18:57:33 2014	1393693053	0	18893	18893	18645
Sat Mar 01 18:55:08 2014	1393692908	0	18896	18896	18568
Sat Mar 01 18:57:15 2014	1393693035	0	18902	18902	18621
Sat Mar 01 18:56:21 2014	1393692981	0	18904	18904	18526
Sat Mar 01 18:57:47 2014	1393693067	0	18905	18905	18532
Sat Mar 01 18:54:50 2014	1393692890	0	18905	18905	18571
