starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 17:39:39 2014	1393688379	1	14476	14477	13
Sat Mar 01 17:40:02 2014	1393688402	0	15273	15273	0
Sat Mar 01 17:39:40 2014	1393688380	7	15279	15285	16
Sat Mar 01 17:39:38 2014	1393688378	3	15334	15337	17
Sat Mar 01 17:41:58 2014	1393688518	1	15656	15656	24
Sat Mar 01 17:40:03 2014	1393688403	0	15724	15725	0
Sat Mar 01 17:41:58 2014	1393688518	1	15838	15839	20
Sat Mar 01 17:40:04 2014	1393688404	1	15901	15902	17
Sat Mar 01 17:40:01 2014	1393688401	9	15999	16008	272
Sat Mar 01 17:39:40 2014	1393688380	3	16333	16335	40
Sat Mar 01 17:39:39 2014	1393688379	6	16420	16425	7
Sat Mar 01 17:39:39 2014	1393688379	1	16542	16543	14
Sat Mar 01 17:40:03 2014	1393688403	1	16738	16739	1
Sat Mar 01 17:41:57 2014	1393688517	0	16747	16747	57
Sat Mar 01 17:41:57 2014	1393688517	4	16839	16844	40
Sat Mar 01 17:39:39 2014	1393688379	3	16909	16913	60
Sat Mar 01 17:40:01 2014	1393688401	15	16907	16922	110
Sat Mar 01 17:40:02 2014	1393688402	1	17109	17110	9
Sat Mar 01 17:41:56 2014	1393688516	1	17117	17118	21
Sat Mar 01 17:40:02 2014	1393688402	7	17158	17165	48
Sat Mar 01 17:40:02 2014	1393688402	0	17385	17385	1
Sat Mar 01 17:41:56 2014	1393688516	5	17422	17427	58
Sat Mar 01 17:40:03 2014	1393688403	0	17563	17564	9
Sat Mar 01 17:40:02 2014	1393688402	0	17811	17812	11
Sat Mar 01 17:39:59 2014	1393688399	2	17892	17895	56
Sat Mar 01 17:41:56 2014	1393688516	4	17916	17920	36
Sat Mar 01 17:41:55 2014	1393688515	1	17944	17945	43
Sat Mar 01 17:40:02 2014	1393688402	1	18091	18093	1
Sat Mar 01 17:41:55 2014	1393688515	4	18212	18215	52
Sat Mar 01 17:39:41 2014	1393688381	6	18598	18604	25
Sat Mar 01 17:41:55 2014	1393688515	4	18603	18607	14
Sat Mar 01 17:41:55 2014	1393688515	4	18641	18644	13
Sat Mar 01 17:39:41 2014	1393688381	4	18720	18723	14
Sat Mar 01 17:41:55 2014	1393688515	7	18985	18991	51
Sat Mar 01 17:41:54 2014	1393688514	2	19189	19191	48
Sat Mar 01 17:39:38 2014	1393688378	1	19206	19207	15
Sat Mar 01 17:39:42 2014	1393688382	7	19357	19364	10
Sat Mar 01 17:39:40 2014	1393688380	1	19590	19590	12
Sat Mar 01 17:39:53 2014	1393688393	0	19594	19595	1
Sat Mar 01 17:40:02 2014	1393688402	6	19766	19772	23
Sat Mar 01 17:40:01 2014	1393688401	4	19879	19883	86
Sat Mar 01 17:40:02 2014	1393688402	2	19885	19886	10
Sat Mar 01 17:40:01 2014	1393688401	5	19952	19956	213
Sat Mar 01 17:39:41 2014	1393688381	1	20047	20048	12
Sat Mar 01 17:40:00 2014	1393688400	1	20064	20065	4
Sat Mar 01 17:41:53 2014	1393688513	9	20252	20261	115
Sat Mar 01 17:39:39 2014	1393688379	0	20270	20270	1
Sat Mar 01 17:41:00 2014	1393688460	0	20431	20431	0
Sat Mar 01 17:40:01 2014	1393688401	8	20462	20470	182
Sat Mar 01 17:40:00 2014	1393688400	5	20597	20601	143
Sat Mar 01 17:39:40 2014	1393688380	4	20623	20627	1
Sat Mar 01 17:40:00 2014	1393688400	1	20711	20711	5
Sat Mar 01 17:40:04 2014	1393688404	1	20854	20854	1
Sat Mar 01 17:39:39 2014	1393688379	5	20967	20973	68
Sat Mar 01 17:41:52 2014	1393688512	1	21032	21033	29
Sat Mar 01 17:41:52 2014	1393688512	14	21146	21160	31
Sat Mar 01 17:40:00 2014	1393688400	8	21175	21183	150
Sat Mar 01 17:40:00 2014	1393688400	3	21561	21564	71
Sat Mar 01 17:39:39 2014	1393688379	1	21603	21605	67
Sat Mar 01 17:41:52 2014	1393688512	1	21640	21640	18
Sat Mar 01 17:40:03 2014	1393688403	0	21644	21644	0
Sat Mar 01 17:40:01 2014	1393688401	4	21668	21672	188
Sat Mar 01 17:39:39 2014	1393688379	3	21724	21726	33
Sat Mar 01 17:40:04 2014	1393688404	1	21761	21762	3
Sat Mar 01 17:39:56 2014	1393688396	0	21815	21815	0
Sat Mar 01 17:41:52 2014	1393688512	0	21910	21910	0
Sat Mar 01 17:39:56 2014	1393688396	2	21909	21911	22
Sat Mar 01 17:39:39 2014	1393688379	0	21925	21925	0
Sat Mar 01 17:40:02 2014	1393688402	0	21991	21991	0
Sat Mar 01 17:41:51 2014	1393688511	1	22065	22067	9
Sat Mar 01 17:39:40 2014	1393688380	6	22111	22117	15
Sat Mar 01 17:39:54 2014	1393688394	1	22124	22124	1
Sat Mar 01 17:40:02 2014	1393688402	0	22148	22148	1
Sat Mar 01 17:34:28 2014	1393688068	4	22172	22176	1
Sat Mar 01 17:34:28 2014	1393688068	1	22182	22182	1
Sat Mar 01 17:34:28 2014	1393688068	0	22212	22212	1
Sat Mar 01 17:34:27 2014	1393688067	5	22210	22215	42
Sat Mar 01 17:40:04 2014	1393688404	3	22232	22235	41
Sat Mar 01 17:40:02 2014	1393688402	0	22265	22265	1
Sat Mar 01 17:34:27 2014	1393688067	1	22306	22307	33
Sat Mar 01 17:34:28 2014	1393688068	3	22340	22343	1
Sat Mar 01 17:39:59 2014	1393688399	1	22381	22382	65
Sat Mar 01 17:34:28 2014	1393688068	1	22433	22433	27
Sat Mar 01 17:39:40 2014	1393688380	1	22436	22437	24
Sat Mar 01 17:41:51 2014	1393688511	1	22438	22439	184
Sat Mar 01 17:39:57 2014	1393688397	0	22449	22449	0
Sat Mar 01 17:34:28 2014	1393688068	4	22467	22471	2
Sat Mar 01 17:34:28 2014	1393688068	1	22500	22501	1
Sat Mar 01 17:39:42 2014	1393688382	5	22503	22508	40
Sat Mar 01 17:39:56 2014	1393688396	1	22519	22520	26
Sat Mar 01 17:34:27 2014	1393688067	5	22528	22533	20
Sat Mar 01 17:34:28 2014	1393688068	1	22549	22550	1
Sat Mar 01 17:34:27 2014	1393688067	1	22590	22591	37
Sat Mar 01 17:39:40 2014	1393688380	3	22593	22596	19
Sat Mar 01 17:34:28 2014	1393688068	1	22602	22603	1
Sat Mar 01 17:34:28 2014	1393688068	0	22608	22609	1
Sat Mar 01 17:40:04 2014	1393688404	0	22610	22611	1
Sat Mar 01 17:34:28 2014	1393688068	7	22605	22613	1
Sat Mar 01 17:34:28 2014	1393688068	0	22613	22614	7
Sat Mar 01 17:34:28 2014	1393688068	2	22622	22624	1
Sat Mar 01 17:34:28 2014	1393688068	1	22624	22624	1
Sat Mar 01 17:34:28 2014	1393688068	5	22623	22627	1
Sat Mar 01 17:34:28 2014	1393688068	1	22634	22635	1
Sat Mar 01 17:33:33 2014	1393688013	1	22636	22637	5
Sat Mar 01 17:34:28 2014	1393688068	1	22654	22655	1
Sat Mar 01 17:34:28 2014	1393688068	3	22657	22660	5
Sat Mar 01 17:34:28 2014	1393688068	0	22665	22665	1
Sat Mar 01 17:34:28 2014	1393688068	3	22682	22684	1
Sat Mar 01 17:34:28 2014	1393688068	2	22687	22689	16
Sat Mar 01 17:34:28 2014	1393688068	1	22700	22701	3
Sat Mar 01 17:34:28 2014	1393688068	1	22701	22701	3
Sat Mar 01 17:33:33 2014	1393688013	1	22703	22703	1
Sat Mar 01 17:34:28 2014	1393688068	2	22719	22721	1
Sat Mar 01 17:34:28 2014	1393688068	3	22728	22731	5
Sat Mar 01 17:39:38 2014	1393688378	1	22735	22736	17
Sat Mar 01 17:34:28 2014	1393688068	0	22736	22736	2
Sat Mar 01 17:40:04 2014	1393688404	1	22738	22738	5
Sat Mar 01 17:34:28 2014	1393688068	1	22758	22758	1
Sat Mar 01 17:34:28 2014	1393688068	8	22752	22760	4
Sat Mar 01 17:41:50 2014	1393688510	0	22790	22790	2
Sat Mar 01 17:34:26 2014	1393688066	12	22783	22795	57
Sat Mar 01 17:34:28 2014	1393688068	3	22795	22797	1
Sat Mar 01 17:34:27 2014	1393688067	1	22797	22798	6
Sat Mar 01 17:34:27 2014	1393688067	7	22799	22806	77
Sat Mar 01 17:41:50 2014	1393688510	0	22815	22816	0
Sat Mar 01 17:34:27 2014	1393688067	2	22816	22818	53
Sat Mar 01 17:34:28 2014	1393688068	1	22817	22818	2
Sat Mar 01 17:39:40 2014	1393688380	5	22821	22827	16
Sat Mar 01 17:39:39 2014	1393688379	0	22840	22840	0
Sat Mar 01 17:34:28 2014	1393688068	7	22844	22851	9
Sat Mar 01 17:39:56 2014	1393688396	3	22851	22854	30
Sat Mar 01 17:39:40 2014	1393688380	1	22896	22896	33
Sat Mar 01 17:34:29 2014	1393688069	2	22926	22928	2
Sat Mar 01 17:34:28 2014	1393688068	14	22927	22940	2
Sat Mar 01 17:34:28 2014	1393688068	3	22942	22945	3
Sat Mar 01 17:40:13 2014	1393688413	2	22950	22952	9
Sat Mar 01 17:34:28 2014	1393688068	2	22950	22953	5
Sat Mar 01 17:34:28 2014	1393688068	1	22989	22990	2
Sat Mar 01 17:34:28 2014	1393688068	0	22990	22990	2
Sat Mar 01 17:39:39 2014	1393688379	0	23007	23007	1
Sat Mar 01 17:39:40 2014	1393688380	3	23011	23014	13
Sat Mar 01 17:39:41 2014	1393688381	3	23022	23025	11
Sat Mar 01 17:39:39 2014	1393688379	0	23025	23025	14
Sat Mar 01 17:34:28 2014	1393688068	1	23039	23040	9
Sat Mar 01 17:39:39 2014	1393688379	6	23061	23067	77
Sat Mar 01 17:34:29 2014	1393688069	3	23070	23073	1
Sat Mar 01 17:40:04 2014	1393688404	0	23079	23079	3
Sat Mar 01 17:39:39 2014	1393688379	1	23086	23087	1
Sat Mar 01 17:34:28 2014	1393688068	0	23140	23140	13
Sat Mar 01 17:34:28 2014	1393688068	3	23143	23146	3
Sat Mar 01 17:39:41 2014	1393688381	1	23154	23155	1
Sat Mar 01 17:36:17 2014	1393688177	2	23157	23159	3
Sat Mar 01 17:33:33 2014	1393688013	7	23153	23160	2
Sat Mar 01 17:36:17 2014	1393688177	2	23158	23160	65
Sat Mar 01 17:36:17 2014	1393688177	5	23156	23162	10
Sat Mar 01 17:39:39 2014	1393688379	8	23167	23175	68
Sat Mar 01 17:39:42 2014	1393688382	3	23174	23177	1
Sat Mar 01 17:34:28 2014	1393688068	4	23180	23184	8
Sat Mar 01 17:36:17 2014	1393688177	18	23188	23206	22
Sat Mar 01 17:39:41 2014	1393688381	1	23223	23224	13
Sat Mar 01 17:36:17 2014	1393688177	2	23226	23228	42
Sat Mar 01 17:39:39 2014	1393688379	1	23234	23235	3
Sat Mar 01 17:39:39 2014	1393688379	2	23239	23241	9
Sat Mar 01 17:33:33 2014	1393688013	1	23259	23259	1
Sat Mar 01 17:40:00 2014	1393688400	1	23265	23266	31
Sat Mar 01 17:36:17 2014	1393688177	11	23255	23266	3
Sat Mar 01 17:39:39 2014	1393688379	1	23274	23275	24
