starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 20:47:09 2014	1392835629	5	13	17	12
Wed Feb 19 20:47:09 2014	1392835629	2	17	19	14
Wed Feb 19 20:47:09 2014	1392835629	5	16	21	16
Wed Feb 19 20:47:09 2014	1392835629	5	18	22	17
Wed Feb 19 20:47:09 2014	1392835629	5	21	26	21
Wed Feb 19 20:47:09 2014	1392835629	5	26	30	25
Wed Feb 19 20:47:09 2014	1392835629	5	33	37	32
Wed Feb 19 20:47:09 2014	1392835629	5	36	41	36
Wed Feb 19 20:47:09 2014	1392835629	5	43	48	43
Wed Feb 19 20:47:09 2014	1392835629	5	51	55	50
Wed Feb 19 20:47:09 2014	1392835629	5	51	56	51
Wed Feb 19 20:47:09 2014	1392835629	5	52	56	23
Wed Feb 19 20:47:09 2014	1392835629	5	55	59	54
Wed Feb 19 20:47:09 2014	1392835629	5	57	62	51
Wed Feb 19 20:47:09 2014	1392835629	5	67	71	53
Wed Feb 19 20:47:09 2014	1392835629	5	76	80	75
Wed Feb 19 20:47:11 2014	1392835631	0	83	83	83
Wed Feb 19 20:47:10 2014	1392835630	0	87	87	86
Wed Feb 19 20:47:09 2014	1392835629	0	88	88	88
Wed Feb 19 20:47:11 2014	1392835631	0	88	88	88
Wed Feb 19 20:47:09 2014	1392835629	4	85	89	84
Wed Feb 19 20:47:11 2014	1392835631	0	89	89	89
Wed Feb 19 20:47:11 2014	1392835631	0	91	91	89
Wed Feb 19 20:47:09 2014	1392835629	4	87	92	87
Wed Feb 19 20:47:10 2014	1392835630	0	92	92	92
Wed Feb 19 20:47:11 2014	1392835631	0	92	92	92
Wed Feb 19 20:47:11 2014	1392835631	0	93	93	93
Wed Feb 19 20:47:10 2014	1392835630	0	93	93	93
Wed Feb 19 20:47:09 2014	1392835629	4	89	94	66
Wed Feb 19 20:47:10 2014	1392835630	0	94	94	94
Wed Feb 19 20:47:09 2014	1392835629	5	90	94	87
Wed Feb 19 20:47:10 2014	1392835630	0	95	95	94
