starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 21:57:03 2014	1392839823	4	60	64	59
Wed Feb 19 21:57:03 2014	1392839823	5	63	67	62
Wed Feb 19 21:57:03 2014	1392839823	5	91	95	90
Wed Feb 19 21:57:03 2014	1392839823	5	95	99	93
Wed Feb 19 21:57:03 2014	1392839823	5	121	125	121
Wed Feb 19 21:57:03 2014	1392839823	5	127	132	127
Wed Feb 19 21:57:03 2014	1392839823	5	149	154	149
Wed Feb 19 21:57:03 2014	1392839823	4	159	164	159
Wed Feb 19 21:57:03 2014	1392839823	4	178	183	178
Wed Feb 19 21:57:03 2014	1392839823	4	192	197	192
Wed Feb 19 21:57:03 2014	1392839823	4	207	211	206
Wed Feb 19 21:57:03 2014	1392839823	4	224	229	224
Wed Feb 19 21:57:03 2014	1392839823	4	236	240	235
Wed Feb 19 21:57:03 2014	1392839823	4	257	261	257
Wed Feb 19 21:57:03 2014	1392839823	4	264	268	264
Wed Feb 19 21:57:03 2014	1392839823	4	290	294	290
Wed Feb 19 21:57:03 2014	1392839823	4	293	297	293
Wed Feb 19 21:57:03 2014	1392839823	4	319	323	319
Wed Feb 19 21:57:03 2014	1392839823	4	322	326	321
Wed Feb 19 21:57:03 2014	1392839823	4	348	352	348
Wed Feb 19 21:57:03 2014	1392839823	4	351	355	351
Wed Feb 19 21:57:03 2014	1392839823	4	378	382	378
Wed Feb 19 21:57:03 2014	1392839823	4	381	385	380
Wed Feb 19 21:57:03 2014	1392839823	4	410	414	410
Wed Feb 19 21:57:03 2014	1392839823	4	414	418	412
Wed Feb 19 21:57:03 2014	1392839823	4	440	444	440
Wed Feb 19 21:57:03 2014	1392839823	3	445	448	445
Wed Feb 19 21:57:03 2014	1392839823	3	469	472	469
Wed Feb 19 21:57:03 2014	1392839823	3	477	480	477
Wed Feb 19 21:57:03 2014	1392839823	3	497	501	497
Wed Feb 19 21:57:03 2014	1392839823	3	509	512	509
Wed Feb 19 21:57:03 2014	1392839823	3	526	529	526
Wed Feb 19 21:57:03 2014	1392839823	3	541	544	540
Wed Feb 19 21:57:03 2014	1392839823	3	555	558	555
Wed Feb 19 21:57:03 2014	1392839823	3	573	576	573
Wed Feb 19 21:57:03 2014	1392839823	3	584	587	583
Wed Feb 19 21:57:03 2014	1392839823	3	603	606	603
Wed Feb 19 21:57:03 2014	1392839823	3	612	615	612
Wed Feb 19 21:57:03 2014	1392839823	3	632	635	632
Wed Feb 19 21:57:03 2014	1392839823	3	641	644	641
Wed Feb 19 21:57:03 2014	1392839823	3	662	664	662
Wed Feb 19 21:57:03 2014	1392839823	3	669	672	669
