starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 21:24:39 2014	1392837879	0	239	239	239
Wed Feb 19 21:24:39 2014	1392837879	0	240	240	238
Wed Feb 19 21:24:39 2014	1392837879	0	240	240	239
Wed Feb 19 21:24:39 2014	1392837879	0	240	241	239
Wed Feb 19 21:24:39 2014	1392837879	0	241	241	238
Wed Feb 19 21:24:24 2014	1392837864	2	319	321	319
Wed Feb 19 21:24:30 2014	1392837870	0	390	390	389
Wed Feb 19 21:24:39 2014	1392837879	0	440	440	440
Wed Feb 19 21:24:39 2014	1392837879	0	444	444	443
Wed Feb 19 21:24:39 2014	1392837879	0	444	444	444
Wed Feb 19 21:24:39 2014	1392837879	0	445	445	441
Wed Feb 19 21:24:39 2014	1392837879	0	449	449	449
Wed Feb 19 21:24:39 2014	1392837879	0	454	454	453
Wed Feb 19 21:24:39 2014	1392837879	0	454	454	454
Wed Feb 19 21:24:29 2014	1392837869	0	457	457	456
Wed Feb 19 21:24:39 2014	1392837879	0	457	457	453
Wed Feb 19 21:24:39 2014	1392837879	0	457	457	454
Wed Feb 19 21:24:39 2014	1392837879	0	457	457	452
Wed Feb 19 21:24:39 2014	1392837879	0	457	458	453
Wed Feb 19 21:24:39 2014	1392837879	0	458	458	454
Wed Feb 19 21:24:39 2014	1392837879	0	458	458	453
Wed Feb 19 21:24:39 2014	1392837879	0	458	458	452
Wed Feb 19 21:24:36 2014	1392837876	0	459	459	453
Wed Feb 19 21:24:38 2014	1392837878	0	461	461	461
Wed Feb 19 21:24:36 2014	1392837876	0	461	461	458
Wed Feb 19 21:24:31 2014	1392837871	0	475	475	471
Wed Feb 19 21:24:36 2014	1392837876	0	482	483	474
Wed Feb 19 21:24:36 2014	1392837876	0	484	484	482
Wed Feb 19 21:24:24 2014	1392837864	2	482	484	394
Wed Feb 19 21:24:36 2014	1392837876	0	487	487	486
Wed Feb 19 21:24:36 2014	1392837876	0	487	487	487
Wed Feb 19 21:24:33 2014	1392837873	0	488	488	359
Wed Feb 19 21:24:38 2014	1392837878	0	490	490	489
Wed Feb 19 21:24:38 2014	1392837878	0	495	495	495
Wed Feb 19 21:24:38 2014	1392837878	0	495	496	495
Wed Feb 19 21:24:38 2014	1392837878	0	496	496	495
Wed Feb 19 21:24:31 2014	1392837871	0	496	496	493
Wed Feb 19 21:24:38 2014	1392837878	1	496	497	495
Wed Feb 19 21:24:31 2014	1392837871	0	497	497	493
Wed Feb 19 21:24:33 2014	1392837873	0	499	499	493
Wed Feb 19 21:24:31 2014	1392837871	0	500	500	500
Wed Feb 19 21:24:37 2014	1392837877	0	502	502	501
Wed Feb 19 21:24:37 2014	1392837877	0	503	503	499
Wed Feb 19 21:24:38 2014	1392837878	0	504	504	499
Wed Feb 19 21:24:35 2014	1392837875	0	504	504	504
Wed Feb 19 21:24:37 2014	1392837877	0	506	506	506
Wed Feb 19 21:24:33 2014	1392837873	0	508	508	498
Wed Feb 19 21:24:28 2014	1392837868	0	509	509	495
Wed Feb 19 21:24:38 2014	1392837878	0	510	511	510
Wed Feb 19 21:24:28 2014	1392837868	0	514	514	508
