starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 20:48:45 2014	1392835725	2	6	8	6
Wed Feb 19 20:48:45 2014	1392835725	2	6	8	6
Wed Feb 19 20:48:45 2014	1392835725	2	8	10	6
Wed Feb 19 20:48:45 2014	1392835725	2	13	15	12
Wed Feb 19 20:48:45 2014	1392835725	7	10	17	10
Wed Feb 19 20:48:45 2014	1392835725	4	15	20	13
Wed Feb 19 20:48:45 2014	1392835725	7	17	24	17
Wed Feb 19 20:48:45 2014	1392835725	7	18	24	11
Wed Feb 19 20:48:45 2014	1392835725	7	18	25	18
Wed Feb 19 20:48:45 2014	1392835725	2	24	26	24
Wed Feb 19 20:48:45 2014	1392835725	2	25	27	25
Wed Feb 19 20:48:45 2014	1392835725	7	21	27	21
Wed Feb 19 20:48:45 2014	1392835725	7	25	32	25
Wed Feb 19 20:48:45 2014	1392835725	7	27	34	27
Wed Feb 19 20:48:45 2014	1392835725	7	30	36	29
Wed Feb 19 20:48:45 2014	1392835725	7	32	38	32
Wed Feb 19 20:48:45 2014	1392835725	7	34	41	34
Wed Feb 19 20:48:45 2014	1392835725	7	36	43	36
Wed Feb 19 20:48:45 2014	1392835725	7	37	44	37
Wed Feb 19 20:48:45 2014	1392835725	6	39	45	39
Wed Feb 19 20:48:45 2014	1392835725	6	40	47	40
Wed Feb 19 20:48:45 2014	1392835725	6	41	48	41
Wed Feb 19 20:48:46 2014	1392835726	0	49	49	49
Wed Feb 19 20:48:46 2014	1392835726	0	50	50	50
Wed Feb 19 20:48:47 2014	1392835727	0	50	50	50
Wed Feb 19 20:48:45 2014	1392835725	6	43	50	43
Wed Feb 19 20:48:46 2014	1392835726	0	50	50	50
Wed Feb 19 20:48:46 2014	1392835726	0	50	50	50
Wed Feb 19 20:48:46 2014	1392835726	0	50	50	50
Wed Feb 19 20:48:46 2014	1392835726	0	50	50	50
Wed Feb 19 20:48:47 2014	1392835727	0	50	50	50
Wed Feb 19 20:48:46 2014	1392835726	0	50	51	50
Wed Feb 19 20:48:46 2014	1392835726	0	51	51	51
Wed Feb 19 20:48:47 2014	1392835727	0	51	51	51
Wed Feb 19 20:48:47 2014	1392835727	0	51	51	51
Wed Feb 19 20:48:46 2014	1392835726	0	51	51	51
Wed Feb 19 20:48:46 2014	1392835726	0	51	51	51
Wed Feb 19 20:48:46 2014	1392835726	0	51	51	51
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	51
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:45 2014	1392835725	7	45	52	45
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:47 2014	1392835727	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	52
Wed Feb 19 20:48:46 2014	1392835726	0	52	52	50
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:47 2014	1392835727	0	53	53	53
Wed Feb 19 20:48:45 2014	1392835725	7	46	53	46
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:47 2014	1392835727	0	53	53	53
Wed Feb 19 20:48:47 2014	1392835727	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:47 2014	1392835727	0	53	53	53
Wed Feb 19 20:48:45 2014	1392835725	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	53	53
Wed Feb 19 20:48:46 2014	1392835726	0	53	54	53
Wed Feb 19 20:48:45 2014	1392835725	6	47	54	47
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:47 2014	1392835727	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:47 2014	1392835727	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	54	54	54
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	54
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	54
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	55
Wed Feb 19 20:48:47 2014	1392835727	0	55	55	55
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	55
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	55
Wed Feb 19 20:48:47 2014	1392835727	0	55	55	55
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	55
Wed Feb 19 20:48:47 2014	1392835727	0	55	55	55
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	55
Wed Feb 19 20:48:47 2014	1392835727	0	55	55	55
Wed Feb 19 20:48:46 2014	1392835726	0	55	55	55
Wed Feb 19 20:48:47 2014	1392835727	0	55	55	55
