starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 21:22:55 2014	1392837775	3	1	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	1	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	1	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	1	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	1	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	1	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	2	4	1
Wed Feb 19 21:22:55 2014	1392837775	3	2	4	2
Wed Feb 19 21:22:55 2014	1392837775	3	2	4	2
Wed Feb 19 21:22:55 2014	1392837775	3	2	4	2
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	0	8	8	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	8	10	7
Wed Feb 19 21:22:55 2014	1392837775	1	9	10	7
Wed Feb 19 21:22:55 2014	1392837775	2	9	10	7
Wed Feb 19 21:22:55 2014	1392837775	1	9	10	7
Wed Feb 19 21:22:55 2014	1392837775	1	9	10	7
Wed Feb 19 21:22:55 2014	1392837775	3	8	10	8
Wed Feb 19 21:22:55 2014	1392837775	2	8	11	8
Wed Feb 19 21:22:55 2014	1392837775	3	8	11	2
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	9
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	9
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	8
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	8
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	8
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	8
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	8
Wed Feb 19 21:22:55 2014	1392837775	2	9	11	8
Wed Feb 19 21:22:55 2014	1392837775	2	9	12	9
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	10
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	8
Wed Feb 19 21:22:55 2014	1392837775	2	11	12	10
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	10
Wed Feb 19 21:22:55 2014	1392837775	2	11	12	10
Wed Feb 19 21:22:55 2014	1392837775	2	11	12	10
Wed Feb 19 21:22:55 2014	1392837775	2	10	12	10
Wed Feb 19 21:22:56 2014	1392837776	0	13	13	13
Wed Feb 19 21:22:55 2014	1392837775	2	11	13	11
Wed Feb 19 21:22:56 2014	1392837776	0	13	13	13
Wed Feb 19 21:22:56 2014	1392837776	0	13	13	13
Wed Feb 19 21:22:55 2014	1392837775	1	12	13	11
Wed Feb 19 21:22:56 2014	1392837776	0	13	13	13
Wed Feb 19 21:22:55 2014	1392837775	1	12	13	11
Wed Feb 19 21:22:55 2014	1392837775	1	12	13	11
Wed Feb 19 21:22:55 2014	1392837775	1	12	13	11
Wed Feb 19 21:22:56 2014	1392837776	0	13	13	13
