starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 19 20:53:37 2014	1392836017	1	169	170	1
Wed Feb 19 20:53:37 2014	1392836017	1	186	187	2
Wed Feb 19 20:53:37 2014	1392836017	1	190	191	1
Wed Feb 19 20:53:37 2014	1392836017	1	190	191	1
Wed Feb 19 20:53:37 2014	1392836017	1	191	192	1
Wed Feb 19 20:53:37 2014	1392836017	1	191	193	1
Wed Feb 19 20:53:37 2014	1392836017	1	191	193	1
Wed Feb 19 20:53:37 2014	1392836017	1	192	193	1
Wed Feb 19 20:53:37 2014	1392836017	1	192	194	1
Wed Feb 19 20:53:37 2014	1392836017	1	192	194	1
Wed Feb 19 20:53:37 2014	1392836017	1	193	194	1
Wed Feb 19 20:53:37 2014	1392836017	1	200	201	2
Wed Feb 19 20:53:37 2014	1392836017	1	201	202	3
Wed Feb 19 20:53:37 2014	1392836017	1	202	203	3
Wed Feb 19 20:53:37 2014	1392836017	1	202	203	3
Wed Feb 19 20:53:37 2014	1392836017	1	202	203	1
Wed Feb 19 20:53:37 2014	1392836017	1	203	204	4
Wed Feb 19 20:53:29 2014	1392836009	2	278	280	2
Wed Feb 19 20:53:29 2014	1392836009	2	279	281	3
Wed Feb 19 20:53:29 2014	1392836009	2	281	283	3
Wed Feb 19 20:53:29 2014	1392836009	2	283	285	2
Wed Feb 19 20:53:29 2014	1392836009	2	284	286	2
Wed Feb 19 20:53:29 2014	1392836009	2	286	288	8
Wed Feb 19 20:53:29 2014	1392836009	2	289	291	9
Wed Feb 19 20:53:29 2014	1392836009	2	290	292	8
Wed Feb 19 20:53:29 2014	1392836009	2	291	293	9
Wed Feb 19 20:53:29 2014	1392836009	2	292	294	10
Wed Feb 19 20:53:29 2014	1392836009	2	293	295	9
Wed Feb 19 20:53:29 2014	1392836009	2	294	296	8
Wed Feb 19 20:53:29 2014	1392836009	2	295	297	9
Wed Feb 19 20:53:29 2014	1392836009	2	297	299	2
Wed Feb 19 20:53:29 2014	1392836009	2	298	300	8
Wed Feb 19 20:53:29 2014	1392836009	2	299	301	3
Wed Feb 19 20:53:29 2014	1392836009	2	303	305	3
Wed Feb 19 20:53:29 2014	1392836009	2	305	307	10
Wed Feb 19 20:53:29 2014	1392836009	2	307	309	2
Wed Feb 19 20:53:31 2014	1392836011	1	309	310	11
Wed Feb 19 20:53:31 2014	1392836011	1	310	311	12
Wed Feb 19 20:53:31 2014	1392836011	1	310	311	12
Wed Feb 19 20:53:31 2014	1392836011	1	311	311	13
Wed Feb 19 20:53:31 2014	1392836011	1	311	312	13
Wed Feb 19 20:53:31 2014	1392836011	1	311	312	13
Wed Feb 19 20:53:29 2014	1392836009	2	310	312	2
Wed Feb 19 20:53:31 2014	1392836011	1	311	312	13
Wed Feb 19 20:53:29 2014	1392836009	2	311	313	7
Wed Feb 19 20:53:31 2014	1392836011	1	313	313	15
Wed Feb 19 20:53:31 2014	1392836011	1	313	314	15
Wed Feb 19 20:53:29 2014	1392836009	2	316	318	17
Wed Feb 19 20:53:29 2014	1392836009	2	318	320	17
Wed Feb 19 20:53:31 2014	1392836011	1	319	320	18
Wed Feb 19 20:53:31 2014	1392836011	1	320	321	22
Wed Feb 19 20:53:31 2014	1392836011	1	320	321	19
Wed Feb 19 20:53:29 2014	1392836009	2	319	321	17
Wed Feb 19 20:53:37 2014	1392836017	4	317	322	2
Wed Feb 19 20:53:31 2014	1392836011	1	321	322	20
Wed Feb 19 20:53:31 2014	1392836011	1	321	322	10
Wed Feb 19 20:53:31 2014	1392836011	1	322	322	19
Wed Feb 19 20:53:31 2014	1392836011	1	322	323	20
Wed Feb 19 20:53:31 2014	1392836011	1	322	323	9
Wed Feb 19 20:53:29 2014	1392836009	2	321	323	18
Wed Feb 19 20:53:37 2014	1392836017	1	322	323	1
Wed Feb 19 20:53:37 2014	1392836017	1	322	323	6
Wed Feb 19 20:53:31 2014	1392836011	1	323	324	12
Wed Feb 19 20:53:31 2014	1392836011	1	323	324	12
Wed Feb 19 20:53:31 2014	1392836011	1	323	324	12
Wed Feb 19 20:53:31 2014	1392836011	2	322	324	25
Wed Feb 19 20:53:31 2014	1392836011	1	323	324	12
Wed Feb 19 20:53:31 2014	1392836011	1	323	324	12
Wed Feb 19 20:53:31 2014	1392836011	1	323	324	12
Wed Feb 19 20:53:31 2014	1392836011	1	324	324	12
Wed Feb 19 20:53:29 2014	1392836009	2	323	325	18
Wed Feb 19 20:53:31 2014	1392836011	1	324	325	12
Wed Feb 19 20:53:31 2014	1392836011	1	324	325	12
Wed Feb 19 20:53:31 2014	1392836011	1	324	325	12
Wed Feb 19 20:53:31 2014	1392836011	1	324	325	12
Wed Feb 19 20:53:31 2014	1392836011	1	323	325	11
Wed Feb 19 20:53:31 2014	1392836011	1	324	325	13
Wed Feb 19 20:53:32 2014	1392836012	1	324	325	4
Wed Feb 19 20:53:31 2014	1392836011	1	324	325	27
Wed Feb 19 20:53:31 2014	1392836011	1	325	325	13
Wed Feb 19 20:53:31 2014	1392836011	1	325	326	28
Wed Feb 19 20:53:32 2014	1392836012	1	325	326	5
Wed Feb 19 20:53:32 2014	1392836012	1	325	326	5
Wed Feb 19 20:53:31 2014	1392836011	1	325	326	18
Wed Feb 19 20:53:32 2014	1392836012	1	325	326	5
Wed Feb 19 20:53:32 2014	1392836012	1	325	326	5
Wed Feb 19 20:53:29 2014	1392836009	2	324	326	18
Wed Feb 19 20:53:32 2014	1392836012	1	325	326	5
Wed Feb 19 20:53:31 2014	1392836011	1	325	326	28
Wed Feb 19 20:53:31 2014	1392836011	1	326	326	14
Wed Feb 19 20:53:37 2014	1392836017	1	325	326	4
Wed Feb 19 20:53:32 2014	1392836012	1	326	327	4
Wed Feb 19 20:53:32 2014	1392836012	1	326	327	4
Wed Feb 19 20:53:37 2014	1392836017	1	326	327	4
Wed Feb 19 20:53:31 2014	1392836011	1	326	327	29
Wed Feb 19 20:53:31 2014	1392836011	1	326	327	15
Wed Feb 19 20:53:31 2014	1392836011	1	326	327	20
Wed Feb 19 20:53:31 2014	1392836011	1	326	327	15
Wed Feb 19 20:53:37 2014	1392836017	1	326	327	1
Wed Feb 19 20:53:31 2014	1392836011	1	326	327	29
Wed Feb 19 20:53:29 2014	1392836009	2	325	327	19
Wed Feb 19 20:53:31 2014	1392836011	1	327	328	15
Wed Feb 19 20:53:31 2014	1392836011	1	327	328	15
Wed Feb 19 20:53:31 2014	1392836011	1	327	328	15
Wed Feb 19 20:53:29 2014	1392836009	2	326	328	19
Wed Feb 19 20:53:32 2014	1392836012	1	327	328	7
Wed Feb 19 20:53:31 2014	1392836011	1	327	328	21
Wed Feb 19 20:53:31 2014	1392836011	1	328	329	15
Wed Feb 19 20:53:31 2014	1392836011	1	328	329	15
Wed Feb 19 20:53:31 2014	1392836011	1	328	329	31
Wed Feb 19 20:53:32 2014	1392836012	1	328	329	8
Wed Feb 19 20:53:32 2014	1392836012	1	328	329	8
Wed Feb 19 20:53:31 2014	1392836011	1	328	329	17
Wed Feb 19 20:53:31 2014	1392836011	1	328	329	31
Wed Feb 19 20:53:30 2014	1392836010	1	328	329	22
Wed Feb 19 20:53:31 2014	1392836011	1	328	329	15
Wed Feb 19 20:53:31 2014	1392836011	1	329	329	17
Wed Feb 19 20:53:31 2014	1392836011	1	329	329	17
Wed Feb 19 20:53:31 2014	1392836011	1	329	330	16
Wed Feb 19 20:53:31 2014	1392836011	1	329	330	31
Wed Feb 19 20:53:32 2014	1392836012	1	329	330	7
Wed Feb 19 20:53:32 2014	1392836012	1	329	330	7
Wed Feb 19 20:53:29 2014	1392836009	2	328	330	19
Wed Feb 19 20:53:31 2014	1392836011	1	329	330	15
Wed Feb 19 20:53:31 2014	1392836011	1	329	330	16
Wed Feb 19 20:53:32 2014	1392836012	1	329	330	9
Wed Feb 19 20:53:32 2014	1392836012	1	329	330	7
Wed Feb 19 20:53:32 2014	1392836012	1	329	330	9
